sno,COMPLAINT ID,COMPLAINT DESCRIPTION,COMPLAINT TYPE,RECEIVED DATE,COMPLAINT DATE,COUNTY,CLOSED DATE,STATUS,ZIP CODE
581,8101,Concerns that no filtration or improper filtration is in place during auto body paint spraying,Air,2021-02-11,2021-02-10,Montgomery,2021-02-18,Incident Closed-Managed,20879
582,8100,"Email received with concerns related to open burning at 2000 Dennings Road, New Windsor, Maryland.",Open Burning,2021-02-03,2021-02-03,Carroll,2021-04-15,Incident Closed-Managed,21776
583,8099,Irrigation Ponds,Other,2021-02-10,2021-02-10,Garrett,,Referred to WMA,21550
584,8098,He smells an industrial odor in the residential neighborhood.,Odor,2021-02-04,2021-02-04,Baltimore City,2021-02-12,Incident Closed-Managed,
585,8097,Odor from a manure pile,Odor,2021-02-10,2021-12-10,Baltimore,,Referred to Outside Agency,
586,8096,"Complaint  Complainant detects a foul odor in the area between his neighborhood, RT. 10 and towards RT. 695.",Air,2021-02-10,2021-02-10,Anne Arundel,2021-02-17,Incident Closed-No Violation Observed,21060
587,8095,Complaint  Complainant detects a foul odor in the Tanyard Cove neighborhood.,Air,2021-02-11,2021-02-09,Anne Arundel,2021-02-17,Incident Closed-No Violation Observed,21060
588,8094,Complaint  Complainant detects foul odor in the Tanyard Cove neighborhood located near FT. Smallwood RD and Marley Neck RD,Air,2021-02-11,2021-02-09,Anne Arundel,2021-02-17,Incident Closed-No Violation Observed,21060
589,8093,"Concerns related to dust, odor, and permit renewal at Rockville Quarry","Fugitive Dust/Particulate Matter, Odor",2021-02-03,2021-02-03,Montgomery,2021-02-10,Incident Closed-Managed,20850
590,8092,Dust being generated by work/drilling outside of building.,Fugitive Dust/Particulate Matter,2021-02-05,2021-02-05,Montgomery,2021-02-17,Incident Closed - No further action,20902
591,8090,Odor coming from Flint ink company next door,Odor,2021-02-03,2021-02-03,Howard,,Referred to Outside Agency,21046
592,8089,That project is creating steam smoke during a renovation,Smoke,2021-01-19,2021-01-19,Baltimore City,2021-02-04,Incident Closed-Managed,
593,8088,Rental apartment has a mold issue.,ARA AQCP non-regulated entity,2021-01-15,2021-01-15,Baltimore City,2021-02-04,Incident Closed - No further action,
594,8087,Fumes coming from neighbors house,Fumes,2021-01-27,2021-01-27,Baltimore,2021-02-02,Incident Closed - No further action,
595,8086,Odor,Odor,2021-01-31,2021-01-31,Baltimore,2022-01-27,Incident Closed-Managed,21222
596,8085,Odor,Odor,2021-01-29,2021-01-29,Baltimore,2022-01-27,Incident Closed-Managed,21222
597,8084,Unknown fumes in neighborhood.,Other,2021-02-01,2021-01-29,Baltimore,2021-02-02,Incident Closed - No further action,
598,8083,Issue at apartment,Other,2021-01-28,2021-01-28,Baltimore,2021-02-01,Incident Closed - No further action,
599,8082,Complaint  Contractor created dust while repairing door frame on his house.  Dust/silica entered his house vents.,Air,2021-01-29,2021-01-27,Prince Georges,2021-01-29,Incident Closed - No further action,
600,8081,Complaint  sulfur odor in the area.,Air,2021-01-29,2021-01-27,Anne Arundel,2021-01-29,Incident Closed - No further action,
601,8080,Smoke from Train,Smoke,2021-01-22,2021-01-02,Allegany,2022-03-11,Incident Closed - No further action,21502
602,8079,Crushing without a permit,Other,2021-01-26,2021-01-26,Baltimore,2021-02-05,Incident Closed-No Violation Observed,21220
603,8078,A construction company that supplies equipment is using a crusher without a permit.,Other,2021-01-26,,Baltimore,2022-03-03,Incident Closed-No Violation Observed,
604,8077,Fumes from nail shop,Other,2021-01-25,2021-01-25,Howard,,Referred to Outside Agency,
605,8076,Open Burning Issue,Open Burning,2021-01-20,2021-01-20,Washington,2021-01-20,Incident Closed - No further action,
606,8075,Air Quality concerns around Rockville Quarry.,Air,2021-01-19,2021-01-19,Montgomery,2021-02-10,Incident Closed-Managed,20850
607,8074,Syrene vapor emissions from manhole in his driveway.  Sewer pipes are being relined in his neighborhood.,Air,2021-01-19,2021-01-13,Anne Arundel,2021-01-22,Incident Closed-No Violation Observed,
